activation_function,train_ratio,rmse,mae,mape,r2
cauchy,40%,0.008534763663501711,0.005931677296757698,0.9655672907829285,0.9985970109701157
cauchy,50%,0.008832032299268591,0.0059248816687613726,1.064724326133728,0.9983955472707748
cauchy,60%,0.009551227694376965,0.006636049598455429,1.116525650024414,0.9982117265462875
cauchy,70%,0.00976258587642051,0.006313650053925812,1.1578881740570068,0.9981893002986908
tanh,40%,0.014928299114161436,0.011651214677840471,1.929050326347351,0.9959162771701813
tanh,50%,0.01522082864766021,0.011898297350853682,1.9723793268203735,0.9957594573497772
tanh,60%,0.015438350259859618,0.012096332386136055,2.003769874572754,0.995638519525528
tanh,70%,0.01553486551571895,0.012181148631498218,2.0194077491760254,0.995581790804863
relu,40%,0.009771860879581314,0.006696789292618632,1.1464641094207764,0.9981718510389328
relu,50%,0.009818561264847312,0.006730099092237651,1.1533664464950562,0.9981412589550018
relu,60%,0.009780131032675372,0.00681650685146451,1.1566749811172485,0.9981616139411926
relu,70%,0.009757539229470369,0.006758035975508392,1.1550812721252441,0.9981713742017746
gelu,40%,0.011300693184259606,0.00704661977943033,1.5062323808670044,0.997678279876709
gelu,50%,0.011291964911636716,0.00703143363352865,1.5040504932403564,0.9976816028356552
gelu,60%,0.011314340572438976,0.007043477846309543,1.5082168579101562,0.997672513127327
gelu,70%,0.011354463186651833,0.007063573691993952,1.5171705484390259,0.9976556599140167
leaky_relu,40%,0.009777061636573357,0.006766989710740745,1.1498456001281738,0.9981657862663269
leaky_relu,50%,0.00982933856587792,0.006738297757692635,1.1482535600662231,0.9981454908847809
leaky_relu,60%,0.00985869202691668,0.006769606843590736,1.1548689603805542,0.998138889670372
leaky_relu,70%,0.009970173953146005,0.006912246346473694,1.1708800792694092,0.9980854988098145
