train_ratio,battery,epoch,lambda1,lambda2,d
40%,CS2_35,50,0.6824409365653992,0.05013292655348778,0.6494007110595703
40%,CS2_35,100,0.6824682354927063,0.05050893872976303,0.6469331979751587
40%,CS2_35,150,0.6805967688560486,0.05150498077273369,0.6459972262382507
40%,CS2_35,200,0.6782330870628357,0.05293813720345497,0.6460133194923401
40%,CS2_35,250,0.6751483082771301,0.05449868366122246,0.6443119645118713
40%,CS2_35,300,0.6700403094291687,0.05657760053873062,0.6455594301223755
40%,CS2_36,50,0.6151825785636902,-0.0021536198910325766,0.4216581881046295
40%,CS2_36,100,0.6119456887245178,-0.0026438601780682802,0.4228042662143707
40%,CS2_36,150,0.6115196347236633,-0.0026708694640547037,0.4226780831813812
40%,CS2_36,200,0.6110153794288635,-0.0026626111939549446,0.4224384129047394
40%,CS2_36,250,0.605736255645752,-0.0025778813287615776,0.42458081245422363
40%,CS2_36,300,0.6054839491844177,-0.0027276193723082542,0.4241483509540558
40%,CS2_37,50,0.7664649486541748,0.24498900771141052,0.5589733123779297
40%,CS2_37,100,0.7648651003837585,0.24542030692100525,0.5598863959312439
40%,CS2_37,150,0.7643021941184998,0.24544432759284973,0.5596232414245605
40%,CS2_37,200,0.7636446952819824,0.24545377492904663,0.5593072175979614
40%,CS2_37,250,0.7628998756408691,0.24545347690582275,0.5589437484741211
40%,CS2_37,300,0.7616260051727295,0.24520258605480194,0.5592018365859985
40%,CS2_38,50,0.5852850675582886,0.27040043473243713,0.580376923084259
40%,CS2_38,100,0.5839769840240479,0.27068695425987244,0.5811549425125122
40%,CS2_38,150,0.5837399959564209,0.2708210349082947,0.5807136297225952
40%,CS2_38,200,0.5834134221076965,0.27083829045295715,0.5803046226501465
40%,CS2_38,250,0.5828006863594055,0.2706189453601837,0.580224335193634
40%,CS2_38,300,0.5806904435157776,0.2690081000328064,0.5825417637825012
50%,CS2_35,50,0.6710594892501831,0.0616704560816288,0.6534451842308044
50%,CS2_35,100,0.6705062985420227,0.06228635087609291,0.6523062586784363
50%,CS2_35,150,0.6704034209251404,0.06255140900611877,0.6496925354003906
50%,CS2_35,200,0.6652700901031494,0.06373739242553711,0.655219554901123
50%,CS2_35,250,0.6656136512756348,0.06431295722723007,0.6506137847900391
50%,CS2_35,300,0.6570037007331848,0.06658949702978134,0.656411349773407
50%,CS2_36,50,0.6244192719459534,0.026292596012353897,0.43620747327804565
50%,CS2_36,100,0.6234601140022278,0.02640826441347599,0.4363904893398285
50%,CS2_36,150,0.6229829788208008,0.02639959566295147,0.4364047646522522
50%,CS2_36,200,0.6225412487983704,0.02638343721628189,0.43628522753715515
50%,CS2_36,250,0.6220802068710327,0.026368992403149605,0.4360943138599396
50%,CS2_36,300,0.6216129064559937,0.02635977417230606,0.4358152151107788
50%,CS2_37,50,0.7539706230163574,0.2489454448223114,0.5764886736869812
50%,CS2_37,100,0.7514984011650085,0.24952095746994019,0.57773357629776
50%,CS2_37,150,0.751156210899353,0.24947500228881836,0.5769292712211609
50%,CS2_37,200,0.7507137060165405,0.2493935078382492,0.5762792825698853
50%,CS2_37,250,0.7501299381256104,0.24927088618278503,0.5759069323539734
50%,CS2_37,300,0.7495335340499878,0.24915607273578644,0.5754492282867432
50%,CS2_38,50,0.5938222408294678,0.2579457759857178,0.5795786380767822
50%,CS2_38,100,0.5929130911827087,0.25767219066619873,0.5803360939025879
50%,CS2_38,150,0.5924828052520752,0.25757062435150146,0.5801767706871033
50%,CS2_38,200,0.5920531153678894,0.25751879811286926,0.5798956751823425
50%,CS2_38,250,0.5916475057601929,0.25750458240509033,0.5795062780380249
50%,CS2_38,300,0.5885335803031921,0.25748729705810547,0.580730140209198
60%,CS2_35,50,0.6778990626335144,0.05737488344311714,0.6508757472038269
60%,CS2_35,100,0.6778936982154846,0.05684112012386322,0.6495987772941589
60%,CS2_35,150,0.6741544008255005,0.05759405344724655,0.6516965627670288
60%,CS2_35,200,0.6719767451286316,0.058418113738298416,0.6505032777786255
60%,CS2_35,250,0.6633492112159729,0.06077618896961212,0.6544358730316162
60%,CS2_35,300,0.6570321321487427,0.0616721548140049,0.6598793268203735
60%,CS2_36,50,0.5712849497795105,-0.01012219488620758,0.40609508752822876
60%,CS2_36,100,0.5675466656684875,-0.010409978218376637,0.4061826467514038
60%,CS2_36,150,0.5621031522750854,-0.010126895271241665,0.4076053500175476
60%,CS2_36,200,0.5593931674957275,-0.009967108257114887,0.40779441595077515
60%,CS2_36,250,0.5577828884124756,-0.009958560578525066,0.40740299224853516
60%,CS2_36,300,0.5549554228782654,-0.009979672729969025,0.40726494789123535
60%,CS2_37,50,0.7756572365760803,0.23959381878376007,0.5686882734298706
60%,CS2_37,100,0.77427738904953,0.23987869918346405,0.5698484182357788
60%,CS2_37,150,0.7738319039344788,0.23987962305545807,0.5695275068283081
60%,CS2_37,200,0.7731890082359314,0.2399047315120697,0.5692019462585449
60%,CS2_37,250,0.7715640664100647,0.23998095095157623,0.5698964595794678
60%,CS2_37,300,0.771267294883728,0.23996588587760925,0.5688656568527222
60%,CS2_38,50,0.6091228127479553,0.24639469385147095,0.5839576721191406
60%,CS2_38,100,0.6084154844284058,0.2463735193014145,0.5846139788627625
60%,CS2_38,150,0.6077209711074829,0.2459826022386551,0.585134744644165
60%,CS2_38,200,0.6073784828186035,0.2463410645723343,0.5845730304718018
60%,CS2_38,250,0.6069679260253906,0.24650827050209045,0.5840609073638916
60%,CS2_38,300,0.6039470434188843,0.24545057117938995,0.5870984792709351
70%,CS2_35,50,0.6785366535186768,0.05746793374419212,0.6496672034263611
70%,CS2_35,100,0.6785582304000854,0.0570373572409153,0.6482902765274048
70%,CS2_35,150,0.6759188175201416,0.05757811293005943,0.6484907865524292
70%,CS2_35,200,0.6737680435180664,0.058402691036462784,0.6472496390342712
70%,CS2_35,250,0.6651448011398315,0.06019005924463272,0.6526139378547668
70%,CS2_35,300,0.6623718738555908,0.06094125285744667,0.6512057185173035
70%,CS2_36,50,0.5918111205101013,-0.015154223889112473,0.44579964876174927
70%,CS2_36,100,0.5897209644317627,-0.01511638704687357,0.44740116596221924
70%,CS2_36,150,0.5887192487716675,-0.014910184778273106,0.4479990005493164
70%,CS2_36,200,0.5878089070320129,-0.01475113071501255,0.4482392370700836
70%,CS2_36,250,0.5869808197021484,-0.014615603722631931,0.4481102526187897
70%,CS2_36,300,0.584101140499115,-0.014405602589249611,0.4505656063556671
70%,CS2_37,50,0.75239098072052,0.2648455500602722,0.5510163307189941
70%,CS2_37,100,0.7508460879325867,0.2653942406177521,0.5519816875457764
70%,CS2_37,150,0.7505207657814026,0.2653425335884094,0.551760196685791
70%,CS2_37,200,0.7501499652862549,0.2652904689311981,0.5513968467712402
70%,CS2_37,250,0.7497296333312988,0.2652437090873718,0.550940990447998
70%,CS2_37,300,0.7492749691009521,0.2651991844177246,0.5503876805305481
70%,CS2_38,50,0.5780557990074158,0.26259174942970276,0.5932037830352783
70%,CS2_38,100,0.5769670009613037,0.2628213167190552,0.5938072800636292
70%,CS2_38,150,0.5769469738006592,0.26297786831855774,0.5931820273399353
70%,CS2_38,200,0.5767903923988342,0.2630399763584137,0.592625081539154
70%,CS2_38,250,0.5764325261116028,0.2630165219306946,0.5921932458877563
70%,CS2_38,300,0.5758170485496521,0.26262518763542175,0.5920981764793396
