train_ratio,model,battery,rmse
40%,XNet,B0005,0.1298664914539178
40%,XNet,B0006,0.1843899951106551
40%,XNet,B0007,0.0826214381177369
40%,XNet,B0018,0.1093879887838475
40%,XNet,average,0.1265664783665393
40%,FC,B0005,0.1898256552279108
40%,FC,B0006,0.2755444955790669
40%,FC,B0007,0.1937651951276527
40%,FC,B0018,1.1990819598287346
40%,FC,average,0.4645543264408412
40%,LSTM,B0005,0.0898868260571329
40%,LSTM,B0006,0.1097027984028029
40%,LSTM,B0007,0.0323362776715813
40%,LSTM,B0018,0.0753949259237797
40%,LSTM,average,0.0768302070138242
40%,GRU,B0005,0.1679036102847095
40%,GRU,B0006,0.0297725095634327
40%,GRU,B0007,0.0702470998460239
40%,GRU,B0018,0.0665157726249015
40%,GRU,average,0.0836097480797669
40%,CNN,B0005,0.2761898887403216
40%,CNN,B0006,0.0410590211879426
40%,CNN,B0007,0.2844307436122802
40%,CNN,B0018,0.4868720815764529
40%,CNN,average,0.2721379337792493
40%,ResNet,B0005,0.2405230408321191
40%,ResNet,B0006,0.0742902223374341
40%,ResNet,B0007,0.2009026939390669
40%,ResNet,B0018,0.2724751294449431
40%,ResNet,average,0.1970477716383908
50%,XNet,B0005,0.0894985616637645
50%,XNet,B0006,0.1195439367792051
50%,XNet,B0007,0.0608004482258941
50%,XNet,B0018,0.0490017640697349
50%,XNet,average,0.0797111776846496
50%,FC,B0005,0.0411015515912949
50%,FC,B0006,0.1317395034179099
50%,FC,B0007,0.0239864257120632
50%,FC,B0018,0.3942389207805958
50%,FC,average,0.147766600375466
50%,LSTM,B0005,0.0365080535205409
50%,LSTM,B0006,0.0773614526006222
50%,LSTM,B0007,0.017183334214214
50%,LSTM,B0018,0.0320562827463869
50%,LSTM,average,0.040777280770441
50%,GRU,B0005,0.0514759517712475
50%,GRU,B0006,0.0280606071202418
50%,GRU,B0007,0.0578088703659278
50%,GRU,B0018,0.0432221529349987
50%,GRU,average,0.0451418955481039
50%,CNN,B0005,0.0185321605234134
50%,CNN,B0006,0.0427163116026701
50%,CNN,B0007,0.0240008225935635
50%,CNN,B0018,0.0405590769038079
50%,CNN,average,0.0314520929058637
50%,ResNet,B0005,0.1442842757564825
50%,ResNet,B0006,0.1491421300593309
50%,ResNet,B0007,0.0492164335008473
50%,ResNet,B0018,0.1926538040148176
50%,ResNet,average,0.1338241608328696
60%,XNet,B0005,0.0633798816646993
60%,XNet,B0006,0.0772982482772743
60%,XNet,B0007,0.0273111129449864
60%,XNet,B0018,0.0386115524245533
60%,XNet,average,0.0516501988278784
60%,FC,B0005,0.0668776692766838
60%,FC,B0006,0.0424419878271591
60%,FC,B0007,0.0209729523156044
60%,FC,B0018,0.0449426540746953
60%,FC,average,0.0438088158735356
60%,LSTM,B0005,0.0355478602314747
60%,LSTM,B0006,0.0604859033578487
60%,LSTM,B0007,0.0171961915462219
60%,LSTM,B0018,0.0336254102367685
60%,LSTM,average,0.0367138413430784
60%,GRU,B0005,0.024620615288172
60%,GRU,B0006,0.0262338802767126
60%,GRU,B0007,0.0210109023611783
60%,GRU,B0018,0.0320063712452225
60%,GRU,average,0.0259679422928214
60%,CNN,B0005,0.0344730576418885
60%,CNN,B0006,0.0470653681710636
60%,CNN,B0007,0.018400177926459
60%,CNN,B0018,0.0342750988738681
60%,CNN,average,0.0335534256533198
60%,ResNet,B0005,0.0426455228979744
60%,ResNet,B0006,0.0639487785082797
60%,ResNet,B0007,0.0356376507402125
60%,ResNet,B0018,0.1395207735210281
60%,ResNet,average,0.0704381814168737
70%,XNet,B0005,0.0369516962956712
70%,XNet,B0006,0.0525974929918941
70%,XNet,B0007,0.0234557716355409
70%,XNet,B0018,0.0334645804257595
70%,XNet,average,0.0366173853372164
70%,FC,B0005,0.0204749432903357
70%,FC,B0006,0.0448566720285051
70%,FC,B0007,0.0261430752706584
70%,FC,B0018,0.0508366062981507
70%,FC,average,0.0355778242219125
70%,LSTM,B0005,0.0228055875104159
70%,LSTM,B0006,0.0611644082031001
70%,LSTM,B0007,0.0189939687667171
70%,LSTM,B0018,0.0287447055283687
70%,LSTM,average,0.0329271675021505
70%,GRU,B0005,0.0171735052616694
70%,GRU,B0006,0.0279458264842048
70%,GRU,B0007,0.0223759398282154
70%,GRU,B0018,0.0300058994788311
70%,GRU,average,0.0243752927632302
70%,CNN,B0005,0.0466633004789404
70%,CNN,B0006,0.0351296628978493
70%,CNN,B0007,0.01855976496416
70%,CNN,B0018,0.0386527053686943
70%,CNN,average,0.034751358427411
70%,ResNet,B0005,0.027476402998999
70%,ResNet,B0006,0.0875608216861051
70%,ResNet,B0007,0.0244299169559517
70%,ResNet,B0018,0.0285131929859583
70%,ResNet,average,0.0419950836567535
