train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.006,96,2,0.7,0.1,0.5,0.2205997382257624
40%,2,0.006,96,2,0.85,0.15,0.65,0.2132206819037257
40%,3,0.006,96,2,1.0,0.2,0.75,0.1711844527094216
40%,4,0.006,96,3,0.7,0.1,0.5,0.1484672998465822
40%,5,0.006,96,3,0.85,0.15,0.65,0.1835198239646466
40%,6,0.006,96,3,1.0,0.2,0.75,0.1889236335548049
40%,7,0.006,96,4,0.7,0.1,0.5,0.20004070538634
40%,8,0.006,96,4,0.85,0.15,0.65,0.1618512877123354
40%,9,0.006,96,4,1.0,0.2,0.75,0.1454086293249052
40%,10,0.006,128,2,0.7,0.1,0.5,0.2586297636930299
40%,11,0.006,128,2,0.85,0.15,0.65,0.1951337428864598
40%,12,0.006,128,2,1.0,0.2,0.75,0.2023462510706604
40%,13,0.006,128,3,0.7,0.1,0.5,0.184049357405055
40%,14,0.006,128,3,0.85,0.15,0.65,0.1602784800409206
40%,15,0.006,128,3,1.0,0.2,0.75,0.1480055625778336
40%,16,0.006,128,4,0.7,0.1,0.5,0.2262177109968025
40%,17,0.006,128,4,0.85,0.15,0.65,0.1770018959856958
40%,18,0.006,128,4,1.0,0.2,0.75,0.1649754494295314
40%,19,0.006,160,2,0.7,0.1,0.5,0.1575749905503861
40%,20,0.006,160,2,0.85,0.15,0.65,0.1602259636618337
40%,21,0.006,160,2,1.0,0.2,0.75,0.1456590351429116
40%,22,0.006,160,3,0.7,0.1,0.5,0.152285737576367
40%,23,0.006,160,3,0.85,0.15,0.65,0.1921614877066914
40%,24,0.006,160,3,1.0,0.2,0.75,0.1649647860758895
40%,25,0.006,160,4,0.7,0.1,0.5,0.1466576921023562
40%,26,0.006,160,4,0.85,0.15,0.65,0.1798419325078099
40%,27,0.006,160,4,1.0,0.2,0.75,0.1925435354696761
40%,28,0.008,96,2,0.7,0.1,0.5,0.1943555966875736
40%,29,0.008,96,2,0.85,0.15,0.65,0.1668326835949259
40%,30,0.008,96,2,1.0,0.2,0.75,0.167951911534979
40%,31,0.008,96,3,0.7,0.1,0.5,0.134719217110847
40%,32,0.008,96,3,0.85,0.15,0.65,0.1615890709608852
40%,33,0.008,96,3,1.0,0.2,0.75,0.1483124844223909
40%,34,0.008,96,4,0.7,0.1,0.5,0.1878892019239512
40%,35,0.008,96,4,0.85,0.15,0.65,0.1794816570802974
40%,36,0.008,96,4,1.0,0.2,0.75,0.1768091700846613
40%,37,0.008,128,2,0.7,0.1,0.5,0.1838040132192883
40%,38,0.008,128,2,0.85,0.15,0.65,0.1688917485445306
40%,39,0.008,128,2,1.0,0.2,0.75,0.1618097625259835
40%,40,0.008,128,3,0.7,0.1,0.5,0.196444057012127
40%,41,0.008,128,3,0.85,0.15,0.65,0.1777141334842957
40%,42,0.008,128,3,1.0,0.2,0.75,0.1682194755267048
40%,43,0.008,128,4,0.7,0.1,0.5,0.1770295602670366
40%,44,0.008,128,4,0.85,0.15,0.65,0.1620162543899135
40%,45,0.008,128,4,1.0,0.2,0.75,0.1707626940794572
40%,46,0.008,160,2,0.7,0.1,0.5,0.1544819779608854
40%,47,0.008,160,2,0.85,0.15,0.65,0.1508208702522916
40%,48,0.008,160,2,1.0,0.2,0.75,0.1360669960213889
40%,49,0.008,160,3,0.7,0.1,0.5,0.1805799803915833
40%,50,0.008,160,3,0.85,0.15,0.65,0.1716912979834024
40%,51,0.008,160,3,1.0,0.2,0.75,0.1669779691213267
40%,52,0.008,160,4,0.7,0.1,0.5,0.1694482914697643
40%,53,0.008,160,4,0.85,0.15,0.65,0.1546206028619292
40%,54,0.008,160,4,1.0,0.2,0.75,0.1334587575758855
40%,55,0.01,96,2,0.7,0.1,0.5,0.1889133255363694
40%,56,0.01,96,2,0.85,0.15,0.65,0.1708482514268308
40%,57,0.01,96,2,1.0,0.2,0.75,0.1733798705244766
40%,58,0.01,96,3,0.7,0.1,0.5,0.1872420463031114
40%,59,0.01,96,3,0.85,0.15,0.65,0.1858160445237785
40%,60,0.01,96,3,1.0,0.2,0.75,0.1613682430738006
40%,61,0.01,96,4,0.7,0.1,0.5,0.1796417809998457
40%,62,0.01,96,4,0.85,0.15,0.65,0.173678992684866
40%,63,0.01,96,4,1.0,0.2,0.75,0.1898743375244431
40%,64,0.01,128,2,0.7,0.1,0.5,0.1265664783665393
40%,65,0.01,128,2,0.85,0.15,0.65,0.15099774623758
40%,66,0.01,128,2,1.0,0.2,0.75,0.1655306924349636
40%,67,0.01,128,3,0.7,0.1,0.5,0.150627944542313
40%,68,0.01,128,3,0.85,0.15,0.65,0.173802504175062
40%,69,0.01,128,3,1.0,0.2,0.75,0.1579126499577534
40%,70,0.01,128,4,0.7,0.1,0.5,0.1472655729359259
40%,71,0.01,128,4,0.85,0.15,0.65,0.163870182439734
40%,72,0.01,128,4,1.0,0.2,0.75,0.1646370762941336
40%,73,0.01,160,2,0.7,0.1,0.5,0.1509292976108711
40%,74,0.01,160,2,0.85,0.15,0.65,0.1292741924409989
40%,75,0.01,160,2,1.0,0.2,0.75,0.1303734770982151
40%,76,0.01,160,3,0.7,0.1,0.5,0.1689272097150403
40%,77,0.01,160,3,0.85,0.15,0.65,0.1501589331149132
40%,78,0.01,160,3,1.0,0.2,0.75,0.1457234085579759
40%,79,0.01,160,4,0.7,0.1,0.5,0.1518509886306908
40%,80,0.01,160,4,0.85,0.15,0.65,0.1442400920164023
