lr,hidden_dim,num_layers,lambda1,lambda2,d,mean_rmse,max_rmse,min_rmse
0.006,160,2,1.0,0.2,0.75,0.08273483809756754,0.1456590351429116,0.0451179128041705
0.01,128,2,0.7,0.1,0.5,0.08361156768015734,0.1265664783665393,0.0453044096884088
0.01,160,2,0.85,0.15,0.65,0.08391860828067982,0.1292741924409989,0.0459212382203594
0.008,160,2,1.0,0.2,0.75,0.0840769495996022,0.1360669960213889,0.0448536088003056
0.006,160,2,0.7,0.1,0.5,0.08464669219071116,0.1575749905503861,0.0429578025764438
0.01,160,2,1.0,0.2,0.75,0.08496591157873118,0.1303734770982151,0.0486924629033144
0.008,160,2,0.7,0.1,0.5,0.08520552053775073,0.1544819779608854,0.0416972777701987
0.01,128,2,0.85,0.15,0.65,0.08582655009225885,0.15099774623758,0.0469625191980611
0.01,160,2,0.7,0.1,0.5,0.08590921748918105,0.1509292976108711,0.0366173853372164
0.008,160,2,0.85,0.15,0.65,0.08662643492852035,0.1508208702522916,0.0463604232729097
0.006,160,2,0.85,0.15,0.65,0.08688863468159293,0.1602259636618337,0.0460093809057784
0.008,96,3,0.7,0.1,0.5,0.08798373394426365,0.134719217110847,0.0514294548842156
0.01,128,3,0.7,0.1,0.5,0.08940331874055431,0.150627944542313,0.0472478539593801
0.01,160,3,1.0,0.2,0.75,0.08991256783594072,0.1457234085579759,0.0500735823385727
0.006,128,3,1.0,0.2,0.75,0.09024457351692332,0.1480055625778336,0.0450950099449281
0.01,128,3,1.0,0.2,0.75,0.09043027975550355,0.1579126499577534,0.0439313957517297
0.006,128,3,0.85,0.15,0.65,0.09155827743483692,0.1602784800409206,0.0443788797582615
0.01,128,2,1.0,0.2,0.75,0.0917495342019416,0.1655306924349636,0.0462394014005678
0.006,160,3,0.7,0.1,0.5,0.09196391103537171,0.152285737576367,0.051166029049741
0.008,128,2,1.0,0.2,0.75,0.09208285780430207,0.1618097625259835,0.0471290043426416
0.008,160,4,1.0,0.2,0.75,0.09208867534607117,0.1334587575758855,0.0532181458697785
0.01,160,3,0.85,0.15,0.65,0.09259030104469995,0.1501589331149132,0.0516884122757827
0.008,128,2,0.85,0.15,0.65,0.09305693107874513,0.1688917485445306,0.047652675050918
0.008,128,3,0.85,0.15,0.65,0.0930953889123643,0.1777141334842957,0.0446588737534379
0.01,128,3,0.85,0.15,0.65,0.09355304299158175,0.173802504175062,0.0450943499088181
0.006,160,4,0.7,0.1,0.5,0.09366257426876916,0.1466576921023562,0.049752234699224
0.008,96,3,1.0,0.2,0.75,0.09451353875719397,0.1483124844223909,0.0489581894754164
0.008,160,3,1.0,0.2,0.75,0.09460296173789673,0.1669779691213267,0.0473129587242074
0.01,128,4,0.7,0.1,0.5,0.0947604942937056,0.1472655729359259,0.04874161829641
0.01,160,3,0.7,0.1,0.5,0.09485112039680202,0.1689272097150403,0.0519958289808673
0.008,128,2,0.7,0.1,0.5,0.095103844210642,0.1838040132192883,0.0450040511356872
0.006,96,2,1.0,0.2,0.75,0.09531389930622342,0.1711844527094216,0.0507584248247821
0.008,128,3,1.0,0.2,0.75,0.09547622940541463,0.1682194755267048,0.0457614653082281
0.008,96,2,0.85,0.15,0.65,0.09560425016701997,0.1668326835949259,0.0537562400557478
0.006,96,3,0.7,0.1,0.5,0.095724242105856,0.1484672998465822,0.0519626873084464
0.008,96,2,1.0,0.2,0.75,0.09590094899479762,0.167951911534979,0.0490050307782719
