train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.006,96,2,0.7,0.1,0.5,0.22059973822576245
40%,2,0.006,96,2,0.85,0.15,0.65,0.21322068190372573
40%,3,0.006,96,2,1.0,0.2,0.75,0.17118445270942168
40%,4,0.006,96,3,0.7,0.1,0.5,0.14846729984658222
40%,5,0.006,96,3,0.85,0.15,0.65,0.18351982396464667
40%,6,0.006,96,3,1.0,0.2,0.75,0.18892363355480496
40%,7,0.006,96,4,0.7,0.1,0.5,0.20004070538634
40%,8,0.006,96,4,0.85,0.15,0.65,0.16185128771233545
40%,9,0.006,96,4,1.0,0.2,0.75,0.14540862932490525
40%,10,0.006,128,2,0.7,0.1,0.5,0.2586297636930299
40%,11,0.006,128,2,0.85,0.15,0.65,0.1951337428864598
40%,12,0.006,128,2,1.0,0.2,0.75,0.2023462510706604
40%,13,0.006,128,3,0.7,0.1,0.5,0.18404935740505501
40%,14,0.006,128,3,0.85,0.15,0.65,0.16027848004092063
40%,15,0.006,128,3,1.0,0.2,0.75,0.14800556257783365
40%,16,0.006,128,4,0.7,0.1,0.5,0.22621771099680252
40%,17,0.006,128,4,0.85,0.15,0.65,0.17700189598569585
40%,18,0.006,128,4,1.0,0.2,0.75,0.1649754494295314
40%,19,0.006,160,2,0.7,0.1,0.5,0.1575749905503861
40%,20,0.006,160,2,0.85,0.15,0.65,0.16022596366183378
40%,21,0.006,160,2,1.0,0.2,0.75,0.14565903514291167
40%,22,0.006,160,3,0.7,0.1,0.5,0.152285737576367
40%,23,0.006,160,3,0.85,0.15,0.65,0.1921614877066914
40%,24,0.006,160,3,1.0,0.2,0.75,0.16496478607588957
40%,25,0.006,160,4,0.7,0.1,0.5,0.14665769210235627
40%,26,0.006,160,4,0.85,0.15,0.65,0.17984193250780994
40%,27,0.006,160,4,1.0,0.2,0.75,0.19254353546967617
40%,28,0.008,96,2,0.7,0.1,0.5,0.19435559668757363
40%,29,0.008,96,2,0.85,0.15,0.65,0.16683268359492598
40%,30,0.008,96,2,1.0,0.2,0.75,0.167951911534979
40%,31,0.008,96,3,0.7,0.1,0.5,0.13471921711084706
40%,32,0.008,96,3,0.85,0.15,0.65,0.16158907096088526
40%,33,0.008,96,3,1.0,0.2,0.75,0.14831248442239092
40%,34,0.008,96,4,0.7,0.1,0.5,0.18788920192395123
40%,35,0.008,96,4,0.85,0.15,0.65,0.17948165708029745
40%,36,0.008,96,4,1.0,0.2,0.75,0.17680917008466138
40%,37,0.008,128,2,0.7,0.1,0.5,0.18380401321928835
40%,38,0.008,128,2,0.85,0.15,0.65,0.1688917485445306
40%,39,0.008,128,2,1.0,0.2,0.75,0.1618097625259835
40%,40,0.008,128,3,0.7,0.1,0.5,0.196444057012127
40%,41,0.008,128,3,0.85,0.15,0.65,0.1777141334842957
40%,42,0.008,128,3,1.0,0.2,0.75,0.1682194755267048
40%,43,0.008,128,4,0.7,0.1,0.5,0.1770295602670366
40%,44,0.008,128,4,0.85,0.15,0.65,0.1620162543899135
40%,45,0.008,128,4,1.0,0.2,0.75,0.17076269407945724
40%,46,0.008,160,2,0.7,0.1,0.5,0.15448197796088542
40%,47,0.008,160,2,0.85,0.15,0.65,0.15082087025229163
40%,48,0.008,160,2,1.0,0.2,0.75,0.13606699602138894
40%,49,0.008,160,3,0.7,0.1,0.5,0.18057998039158338
40%,50,0.008,160,3,0.85,0.15,0.65,0.1716912979834024
40%,51,0.008,160,3,1.0,0.2,0.75,0.16697796912132673
40%,52,0.008,160,4,0.7,0.1,0.5,0.16944829146976437
40%,53,0.008,160,4,0.85,0.15,0.65,0.15462060286192927
40%,54,0.008,160,4,1.0,0.2,0.75,0.1334587575758855
40%,55,0.01,96,2,0.7,0.1,0.5,0.18891332553636947
40%,56,0.01,96,2,0.85,0.15,0.65,0.17084825142683083
40%,57,0.01,96,2,1.0,0.2,0.75,0.17337987052447668
40%,58,0.01,96,3,0.7,0.1,0.5,0.18724204630311142
40%,59,0.01,96,3,0.85,0.15,0.65,0.18581604452377853
40%,60,0.01,96,3,1.0,0.2,0.75,0.16136824307380063
40%,61,0.01,96,4,0.7,0.1,0.5,0.17964178099984573
40%,62,0.01,96,4,0.85,0.15,0.65,0.173678992684866
40%,63,0.01,96,4,1.0,0.2,0.75,0.1898743375244431
40%,64,0.01,128,2,0.7,0.1,0.5,0.12656647836653934
40%,65,0.01,128,2,0.85,0.15,0.65,0.15099774623758
40%,66,0.01,128,2,1.0,0.2,0.75,0.1655306924349636
40%,67,0.01,128,3,0.7,0.1,0.5,0.15062794454231304
40%,68,0.01,128,3,0.85,0.15,0.65,0.173802504175062
40%,69,0.01,128,3,1.0,0.2,0.75,0.15791264995775345
40%,70,0.01,128,4,0.7,0.1,0.5,0.1472655729359259
40%,71,0.01,128,4,0.85,0.15,0.65,0.16387018243973409
40%,72,0.01,128,4,1.0,0.2,0.75,0.1646370762941336
40%,73,0.01,160,2,0.7,0.1,0.5,0.15092929761087112
40%,74,0.01,160,2,0.85,0.15,0.65,0.12927419244099897
40%,75,0.01,160,2,1.0,0.2,0.75,0.1303734770982151
40%,76,0.01,160,3,0.7,0.1,0.5,0.16892720971504033
40%,77,0.01,160,3,0.85,0.15,0.65,0.1501589331149132
40%,78,0.01,160,3,1.0,0.2,0.75,0.14572340855797597
40%,79,0.01,160,4,0.7,0.1,0.5,0.15185098863069083
40%,80,0.01,160,4,0.85,0.15,0.65,0.1442400920164023
40%,81,0.01,160,4,1.0,0.2,0.75,0.16731246131965102
