train_ratio,model,battery,rmse
60%,XNet,B0005,0.06337988166469936
60%,XNet,B0006,0.07729824827727438
60%,XNet,B0007,0.027311112944986456
60%,XNet,B0018,0.03861155242455338
60%,XNet,average,0.0516501988278784
60%,FC,B0005,0.06687766927668388
60%,FC,B0006,0.04244198782715912
60%,FC,B0007,0.020972952315604435
60%,FC,B0018,0.04494265407469533
60%,FC,average,0.04380881587353569
60%,LSTM,B0005,0.03554786023147472
60%,LSTM,B0006,0.06048590335784872
60%,LSTM,B0007,0.017196191546221956
60%,LSTM,B0018,0.03362541023676856
60%,LSTM,average,0.03671384134307849
60%,GRU,B0005,0.024620615288172054
60%,GRU,B0006,0.02623388027671266
60%,GRU,B0007,0.02101090236117838
60%,GRU,B0018,0.03200637124522254
60%,GRU,average,0.02596794229282141
60%,CNN,B0005,0.03447305764188852
60%,CNN,B0006,0.0470653681710636
60%,CNN,B0007,0.018400177926459017
60%,CNN,B0018,0.03427509887386811
60%,CNN,average,0.03355342565331981
60%,ResNet,B0005,0.04264552289797445
60%,ResNet,B0006,0.06394877850827978
60%,ResNet,B0007,0.035637650740212516
60%,ResNet,B0018,0.13952077352102812
60%,ResNet,average,0.07043818141687372
