train_ratio,model,battery,rmse
40%,XNet,average,0.1208929550637646
40%,FC,average,0.4645543264408412
40%,LSTM,average,0.0768302070138242
40%,GRU,average,0.0836097480797669
40%,CNN,average,0.2721379337792493
40%,ResNet,average,0.1970477716383908
50%,XNet,average,0.0315076066572183
50%,FC,average,0.147766600375466
50%,LSTM,average,0.040777280770441
50%,GRU,average,0.0451418955481039
50%,CNN,average,0.0314520929058637
50%,ResNet,average,0.1338241608328696
60%,XNet,average,0.0241276007174166
60%,FC,average,0.0438088158735356
60%,LSTM,average,0.0367138413430784
60%,GRU,average,0.0259679422928214
60%,CNN,average,0.0335534256533198
60%,ResNet,average,0.0704381814168737
70%,XNet,average,0.0234991773816233
70%,FC,average,0.0355778242219125
70%,LSTM,average,0.0329271675021505
70%,GRU,average,0.0243752927632302
70%,CNN,average,0.034751358427411
70%,ResNet,average,0.0419950836567535
