train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.008,64,2,0.7,0.1,0.5,0.1887930435292533
40%,2,0.008,64,2,1.0,0.2,0.75,0.2063870818500179
40%,3,0.008,64,3,0.7,0.1,0.5,0.1812284869498334
40%,4,0.008,64,3,1.0,0.2,0.75,0.1559237271477551
40%,5,0.008,128,2,0.7,0.1,0.5,0.1815675803951013
40%,6,0.008,128,2,1.0,0.2,0.75,0.1244435583751712
40%,7,0.008,128,3,0.7,0.1,0.5,0.178780858075233
40%,8,0.008,128,3,1.0,0.2,0.75,0.3259352414996357
40%,9,0.01,64,2,0.7,0.1,0.5,0.1208929550637646
40%,10,0.01,64,2,1.0,0.2,0.75,0.1642908514449661
40%,11,0.01,64,3,0.7,0.1,0.5,0.1326881118152975
40%,12,0.01,64,3,1.0,0.2,0.75,0.1718854366150631
40%,13,0.01,128,2,0.7,0.1,0.5,0.1283530150081858
40%,14,0.01,128,2,1.0,0.2,0.75,0.1351332865239924
40%,15,0.01,128,3,0.7,0.1,0.5,0.1272919399395551
40%,16,0.01,128,3,1.0,0.2,0.75,0.473772153299871
50%,1,0.008,64,2,0.7,0.1,0.5,0.0751294972479404
50%,2,0.008,64,2,1.0,0.2,0.75,0.0630041002369194
50%,3,0.008,64,3,0.7,0.1,0.5,0.0582979630027564
50%,4,0.008,64,3,1.0,0.2,0.75,0.0340663063446775
50%,5,0.008,128,2,0.7,0.1,0.5,0.0771049271717079
50%,6,0.008,128,2,1.0,0.2,0.75,0.0713696673798641
50%,7,0.008,128,3,0.7,0.1,0.5,0.041194515845032
50%,8,0.008,128,3,1.0,0.2,0.75,0.0675167902578183
50%,9,0.01,64,2,0.7,0.1,0.5,0.0788205944129982
50%,10,0.01,64,2,1.0,0.2,0.75,0.0730788636821907
50%,11,0.01,64,3,0.7,0.1,0.5,0.0577279713703253
50%,12,0.01,64,3,1.0,0.2,0.75,0.0516477430120272
50%,13,0.01,128,2,0.7,0.1,0.5,0.0315076066572183
50%,14,0.01,128,2,1.0,0.2,0.75,0.0640801739652383
50%,15,0.01,128,3,0.7,0.1,0.5,0.037416673333641
50%,16,0.01,128,3,1.0,0.2,0.75,0.0608809890779155
60%,1,0.008,64,2,0.7,0.1,0.5,0.0396576584968842
60%,2,0.008,64,2,1.0,0.2,0.75,0.0367058506491572
60%,3,0.008,64,3,0.7,0.1,0.5,0.0451413764460112
60%,4,0.008,64,3,1.0,0.2,0.75,0.0395654407192337
60%,5,0.008,128,2,0.7,0.1,0.5,0.0306451848022466
60%,6,0.008,128,2,1.0,0.2,0.75,0.0390004862008265
60%,7,0.008,128,3,0.7,0.1,0.5,0.0740539248772168
60%,8,0.008,128,3,1.0,0.2,0.75,0.066077043833907
60%,9,0.01,64,2,0.7,0.1,0.5,0.0304139444914732
60%,10,0.01,64,2,1.0,0.2,0.75,0.0378274183954451
60%,11,0.01,64,3,0.7,0.1,0.5,0.0407076409445471
60%,12,0.01,64,3,1.0,0.2,0.75,0.0448005429738656
60%,13,0.01,128,2,0.7,0.1,0.5,0.030446926744048
60%,14,0.01,128,2,1.0,0.2,0.75,0.0241276007174166
60%,15,0.01,128,3,0.7,0.1,0.5,0.0333933251135138
60%,16,0.01,128,3,1.0,0.2,0.75,0.0667707115115911
70%,1,0.008,64,2,0.7,0.1,0.5,0.0323614787282385
70%,2,0.008,64,2,1.0,0.2,0.75,0.0305361803129172
70%,3,0.008,64,3,0.7,0.1,0.5,0.0272307366802628
70%,4,0.008,64,3,1.0,0.2,0.75,0.0245329262446514
70%,5,0.008,128,2,0.7,0.1,0.5,0.0250210278599593
70%,6,0.008,128,2,1.0,0.2,0.75,0.0271571023308139
70%,7,0.008,128,3,0.7,0.1,0.5,0.0262968162302359
70%,8,0.008,128,3,1.0,0.2,0.75,0.0234991773816233
70%,9,0.01,64,2,0.7,0.1,0.5,0.032492347196495
70%,10,0.01,64,2,1.0,0.2,0.75,0.0294940907593596
70%,11,0.01,64,3,0.7,0.1,0.5,0.034192824201284
70%,12,0.01,64,3,1.0,0.2,0.75,0.0265685704844325
70%,13,0.01,128,2,0.7,0.1,0.5,0.0238943768908358
70%,14,0.01,128,2,1.0,0.2,0.75,0.0237793387210548
70%,15,0.01,128,3,0.7,0.1,0.5,0.0284772853741572
70%,16,0.01,128,3,1.0,0.2,0.75,0.0248755975739583
