lr,hidden_dim,num_layers,lambda1,lambda2,d,mean_rmse,max_rmse,min_rmse
0.01,128,2,0.7,0.1,0.5,0.05355048132507197,0.1283530150081858,0.0238943768908358
0.01,128,3,0.7,0.1,0.5,0.05664480594021677,0.1272919399395551,0.0284772853741572
0.01,128,2,1.0,0.2,0.75,0.061780099981925525,0.1351332865239924,0.0237793387210548
0.008,64,3,1.0,0.2,0.75,0.06352210011407942,0.1559237271477551,0.0245329262446514
0.008,128,2,1.0,0.2,0.75,0.06549270357166892,0.1244435583751712,0.0271571023308139
0.01,64,2,0.7,0.1,0.5,0.06565496029118276,0.1208929550637646,0.0304139444914732
0.01,64,3,0.7,0.1,0.5,0.06632913708286348,0.1326881118152975,0.034192824201284
0.01,64,3,1.0,0.2,0.75,0.0737255732713471,0.1718854366150631,0.0265685704844325
0.01,64,2,1.0,0.2,0.75,0.07617280607049037,0.1642908514449661,0.0294940907593596
0.008,64,3,0.7,0.1,0.5,0.07797464076971596,0.1812284869498334,0.0272307366802628
0.008,128,2,0.7,0.1,0.5,0.07858468005725378,0.1815675803951013,0.0250210278599593
0.008,128,3,0.7,0.1,0.5,0.08008152875692942,0.178780858075233,0.0262968162302359
0.008,64,2,0.7,0.1,0.5,0.0839854195005791,0.1887930435292533,0.0323614787282385
0.008,64,2,1.0,0.2,0.75,0.08415830326225292,0.2063870818500179,0.0305361803129172
0.008,128,3,1.0,0.2,0.75,0.12075706324324607,0.3259352414996357,0.0234991773816233
0.01,128,3,1.0,0.2,0.75,0.15657486286583397,0.473772153299871,0.0248755975739583
