train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.008,64,2,0.7,0.1,0.5,0.18879304352925336
40%,2,0.008,64,2,1.0,0.2,0.75,0.20638708185001797
40%,3,0.008,64,3,0.7,0.1,0.5,0.18122848694983348
40%,4,0.008,64,3,1.0,0.2,0.75,0.15592372714775513
40%,5,0.008,128,2,0.7,0.1,0.5,0.1815675803951013
40%,6,0.008,128,2,1.0,0.2,0.75,0.12444355837517126
40%,7,0.008,128,3,0.7,0.1,0.5,0.17878085807523303
40%,8,0.008,128,3,1.0,0.2,0.75,0.3259352414996357
40%,9,0.01,64,2,0.7,0.1,0.5,0.12089295506376468
40%,10,0.01,64,2,1.0,0.2,0.75,0.16429085144496614
40%,11,0.01,64,3,0.7,0.1,0.5,0.13268811181529752
40%,12,0.01,64,3,1.0,0.2,0.75,0.17188543661506317
40%,13,0.01,128,2,0.7,0.1,0.5,0.12835301500818586
40%,14,0.01,128,2,1.0,0.2,0.75,0.13513328652399242
40%,15,0.01,128,3,0.7,0.1,0.5,0.12729193993955512
40%,16,0.01,128,3,1.0,0.2,0.75,0.473772153299871
