model,battery,rmse
XNet,B0005,0.05270436103902676
XNet,B0006,0.1473749870267123
XNet,B0007,0.04512195500042384
XNet,B0018,0.16091657636789897
XNet,average,0.10152946985851546
FC,B0005,0.034944597546845195
FC,B0006,0.19859596218194617
FC,B0007,0.15188377582642287
FC,B0018,0.5050014157322594
FC,average,0.22260643782186842
LSTM,B0005,0.04298444618379016
LSTM,B0006,0.10697321832609138
LSTM,B0007,0.028209029854854885
LSTM,B0018,0.060782167641055
LSTM,average,0.05973721550144785
GRU,B0005,0.08638497375202393
GRU,B0006,0.030480591294764485
GRU,B0007,0.025354064469317934
GRU,B0018,0.03143267955306294
GRU,average,0.04341307726729232
CNN,B0005,0.22237349006361068
CNN,B0006,0.0402963255691901
CNN,B0007,0.1585295394517176
CNN,B0018,0.24838007677166446
CNN,average,0.1673948579640457
ResNet,B0005,0.22990274432041038
ResNet,B0006,0.07482099255781238
ResNet,B0007,0.17347215250444584
ResNet,B0018,0.24484662020813988
ResNet,average,0.1807606273977021
