train_ratio,model,battery,rmse
40%,XNet,B0005,0.05270436103902676
40%,XNet,B0006,0.1473749870267123
40%,XNet,B0007,0.04512195500042384
40%,XNet,B0018,0.16091657636789897
40%,XNet,average,0.10152946985851546
40%,FC,B0005,0.034944597546845195
40%,FC,B0006,0.19859596218194617
40%,FC,B0007,0.15188377582642287
40%,FC,B0018,0.5050014157322594
40%,FC,average,0.22260643782186842
40%,LSTM,B0005,0.04298444618379016
40%,LSTM,B0006,0.10697321832609138
40%,LSTM,B0007,0.028209029854854885
40%,LSTM,B0018,0.060782167641055
40%,LSTM,average,0.05973721550144785
40%,GRU,B0005,0.08638497375202393
40%,GRU,B0006,0.030480591294764485
40%,GRU,B0007,0.025354064469317934
40%,GRU,B0018,0.03143267955306294
40%,GRU,average,0.04341307726729232
40%,CNN,B0005,0.22237349006361068
40%,CNN,B0006,0.0402963255691901
40%,CNN,B0007,0.1585295394517176
40%,CNN,B0018,0.24838007677166446
40%,CNN,average,0.1673948579640457
40%,ResNet,B0005,0.22990274432041038
40%,ResNet,B0006,0.07482099255781238
40%,ResNet,B0007,0.17347215250444584
40%,ResNet,B0018,0.24484662020813988
40%,ResNet,average,0.1807606273977021
50%,XNet,B0005,0.014226349214554184
50%,XNet,B0006,0.033582461132059406
50%,XNet,B0007,0.012308815162560986
50%,XNet,B0018,0.022354114259059296
50%,XNet,average,0.02061793494205847
50%,FC,B0005,0.022302912611833356
50%,FC,B0006,0.029424304790541693
50%,FC,B0007,0.015115372445775602
50%,FC,B0018,0.11382937187815763
50%,FC,average,0.04516799043157707
50%,LSTM,B0005,0.021943965697856452
50%,LSTM,B0006,0.06959807180004518
50%,LSTM,B0007,0.017092131563729882
50%,LSTM,B0018,0.029922623466239088
50%,LSTM,average,0.03463919813196765
50%,GRU,B0005,0.031382907672848875
50%,GRU,B0006,0.028383622027092197
50%,GRU,B0007,0.015465946181973148
50%,GRU,B0018,0.030397303080108296
50%,GRU,average,0.02640744474050563
50%,CNN,B0005,0.018925523192729884
50%,CNN,B0006,0.03644866563278998
50%,CNN,B0007,0.018851591660456864
50%,CNN,B0018,0.04625047199791337
50%,CNN,average,0.030119063120972525
50%,ResNet,B0005,0.1189271272497616
50%,ResNet,B0006,0.15292499993010752
50%,ResNet,B0007,0.047019767234719026
50%,ResNet,B0018,0.08951584957312368
50%,ResNet,average,0.10209693599692796
60%,XNet,B0005,0.013433567319101076
60%,XNet,B0006,0.02702545424644997
60%,XNet,B0007,0.012758996793374886
60%,XNet,B0018,0.022951167865931692
60%,XNet,average,0.019042296556214408
60%,FC,B0005,0.03647849612483916
60%,FC,B0006,0.030756420103012414
60%,FC,B0007,0.015104447368964253
60%,FC,B0018,0.028293554844211134
60%,FC,average,0.02765822961025674
60%,LSTM,B0005,0.025644930459101694
60%,LSTM,B0006,0.06590405423276531
60%,LSTM,B0007,0.01697291581012466
60%,LSTM,B0018,0.0310292681239301
60%,LSTM,average,0.03488779215648044
60%,GRU,B0005,0.02307880874481606
60%,GRU,B0006,0.026237288127914815
60%,GRU,B0007,0.015738361930013108
60%,GRU,B0018,0.02772339524610041
60%,GRU,average,0.0231944635122111
60%,CNN,B0005,0.023661013350330225
60%,CNN,B0006,0.040047242038557744
60%,CNN,B0007,0.016045110987850726
60%,CNN,B0018,0.033576888188553256
60%,CNN,average,0.028332563641322986
60%,ResNet,B0005,0.04503834180428992
60%,ResNet,B0006,0.048412391380602625
60%,ResNet,B0007,0.02786861282659963
60%,ResNet,B0018,0.09418217565128574
60%,ResNet,average,0.05387538041569448
70%,XNet,B0005,0.019281424970379712
70%,XNet,B0006,0.0237887237513748
70%,XNet,B0007,0.013068725815013883
70%,XNet,B0018,0.022983703929345022
70%,XNet,average,0.019780644616528356
70%,FC,B0005,0.020577808686399957
70%,FC,B0006,0.028772884600449272
70%,FC,B0007,0.017130304872639095
70%,FC,B0018,0.02976116695679853
70%,FC,average,0.024060541279071715
70%,LSTM,B0005,0.01926448255304989
70%,LSTM,B0006,0.05519003810505719
70%,LSTM,B0007,0.01838528796718055
70%,LSTM,B0018,0.028302747318866905
70%,LSTM,average,0.030285638986038633
70%,GRU,B0005,0.017255195180947855
70%,GRU,B0006,0.02770514068186343
70%,GRU,B0007,0.01615024160459853
70%,GRU,B0018,0.02624382082376726
70%,GRU,average,0.02183859957279427
70%,CNN,B0005,0.02374771206942363
70%,CNN,B0006,0.034186730340422036
70%,CNN,B0007,0.016385522234362494
70%,CNN,B0018,0.0360808030405003
70%,CNN,average,0.027600191921177117
70%,ResNet,B0005,0.02213227653552985
70%,ResNet,B0006,0.03984850365433517
70%,ResNet,B0007,0.023971942483300132
70%,ResNet,B0018,0.029766898930501835
70%,ResNet,average,0.028929905400916743
