train_ratio,battery,epoch,lambda1,lambda2,d
40%,B0005,50,0.6866104006767273,0.05865692347288132,0.6283750534057617
40%,B0005,100,0.6855969429016113,0.05846932530403137,0.6290679574012756
40%,B0005,150,0.684680700302124,0.05831826105713844,0.6281484365463257
40%,B0005,200,0.6722847819328308,0.058556340634822845,0.6478278636932373
40%,B0005,250,0.6706573963165283,0.058603040874004364,0.6468107104301453
40%,B0005,300,0.6704397797584534,0.05824502557516098,0.6431793570518494
40%,B0006,50,0.5659754872322083,0.06666399538516998,0.5467533469200134
40%,B0006,100,0.5660459399223328,0.06752898544073105,0.5463070273399353
40%,B0006,150,0.5659981966018677,0.06756386905908585,0.5460906028747559
40%,B0006,200,0.5660327076911926,0.06762103736400604,0.5456921458244324
40%,B0006,250,0.5660551190376282,0.06768657267093658,0.5452340245246887
40%,B0006,300,0.5660498142242432,0.06776274740695953,0.5447388291358948
40%,B0007,50,0.7733402848243713,0.22393913567066193,0.5827696919441223
40%,B0007,100,0.772047221660614,0.22399918735027313,0.5837475657463074
40%,B0007,150,0.7718048095703125,0.22399388253688812,0.5833842754364014
40%,B0007,200,0.7714824676513672,0.22400158643722534,0.5829277634620667
40%,B0007,250,0.7710734009742737,0.22400982677936554,0.582446813583374
40%,B0007,300,0.770599901676178,0.22401437163352966,0.5819413065910339
40%,B0018,50,0.6125776171684265,0.20878998935222626,0.5619378089904785
40%,B0018,100,0.6115123629570007,0.20870810747146606,0.5623998641967773
40%,B0018,150,0.6112717986106873,0.2088250368833542,0.5621981620788574
40%,B0018,200,0.6110388040542603,0.20896995067596436,0.56191086769104
40%,B0018,250,0.6099528074264526,0.20846664905548096,0.5620653033256531
40%,B0018,300,0.6094740033149719,0.20883296430110931,0.5617004036903381
50%,B0005,50,0.6832448244094849,0.05868801847100258,0.6337476372718811
50%,B0005,100,0.6827552914619446,0.0586409792304039,0.6333609223365784
50%,B0005,150,0.6826499104499817,0.058481790125370026,0.6310481429100037
50%,B0005,200,0.6798281669616699,0.058687128126621246,0.6327032446861267
50%,B0005,250,0.6795619130134583,0.05837150290608406,0.6299533247947693
50%,B0005,300,0.6724200248718262,0.05955169349908829,0.6368061900138855
50%,B0006,50,0.5851908922195435,0.053560417145490646,0.5290674567222595
50%,B0006,100,0.5845880508422852,0.05395982414484024,0.5293735265731812
50%,B0006,150,0.5847306847572327,0.053975824266672134,0.5287538170814514
50%,B0006,200,0.58485347032547,0.05399918556213379,0.528027355670929
50%,B0006,250,0.5849599242210388,0.054024290293455124,0.5272171497344971
50%,B0006,300,0.5850518941879272,0.054049257189035416,0.5263372659683228
50%,B0007,50,0.7675939202308655,0.22314278781414032,0.588209331035614
50%,B0007,100,0.7665218710899353,0.223297581076622,0.5890238881111145
50%,B0007,150,0.766071081161499,0.22332577407360077,0.5889487862586975
50%,B0007,200,0.7655702233314514,0.22337950766086578,0.5887322425842285
50%,B0007,250,0.7650512456893921,0.22344912588596344,0.588377058506012
50%,B0007,300,0.7620370388031006,0.22308078408241272,0.590466320514679
50%,B0018,50,0.624428927898407,0.21106712520122528,0.5555331707000732
50%,B0018,100,0.6235795021057129,0.2109600156545639,0.5559726357460022
50%,B0018,150,0.6230195164680481,0.2109730839729309,0.5559414029121399
50%,B0018,200,0.6225516200065613,0.21100489795207977,0.555804967880249
50%,B0018,250,0.621141791343689,0.2107182741165161,0.556066632270813
50%,B0018,300,0.6204658150672913,0.21083445847034454,0.5559055805206299
60%,B0005,50,0.686752438545227,0.05914280191063881,0.6275984048843384
60%,B0005,100,0.685839831829071,0.05890398845076561,0.6281622648239136
60%,B0005,150,0.6830396056175232,0.05877096951007843,0.6309504508972168
60%,B0005,200,0.682439386844635,0.058523353189229965,0.6290088295936584
60%,B0005,250,0.6754841208457947,0.05893102288246155,0.6372535824775696
60%,B0005,300,0.6752731800079346,0.05866135656833649,0.6335328221321106
60%,B0006,50,0.5712552666664124,0.06464867293834686,0.540303647518158
60%,B0006,100,0.5711658596992493,0.06524870544672012,0.5396550297737122
60%,B0006,150,0.5713200569152832,0.06529386341571808,0.5390492081642151
60%,B0006,200,0.5715439319610596,0.06533268839120865,0.538217306137085
60%,B0006,250,0.5717471241950989,0.06536954641342163,0.5373021960258484
60%,B0006,300,0.5719524621963501,0.06540698558092117,0.5362917184829712
60%,B0007,50,0.7578946948051453,0.22173792123794556,0.5986443758010864
60%,B0007,100,0.7565039396286011,0.2223110795021057,0.5987008213996887
60%,B0007,150,0.7562247514724731,0.2223588079214096,0.598484456539154
60%,B0007,200,0.7559003829956055,0.22240567207336426,0.5981959700584412
60%,B0007,250,0.7555336952209473,0.22246047854423523,0.5978212952613831
60%,B0007,300,0.7551283240318298,0.22251449525356293,0.597382664680481
60%,B0018,50,0.6243770718574524,0.21192963421344757,0.5553364753723145
60%,B0018,100,0.6234647035598755,0.2117830216884613,0.555805504322052
60%,B0018,150,0.6227798461914062,0.21179074048995972,0.5558605790138245
60%,B0018,200,0.6223334074020386,0.21179074048995972,0.5557280778884888
60%,B0018,250,0.6207564473152161,0.21122504770755768,0.5562378168106079
60%,B0018,300,0.6200961470603943,0.21112939715385437,0.556121289730072
70%,B0005,50,0.6850292086601257,0.06323469430208206,0.6391078233718872
70%,B0005,100,0.6841033697128296,0.06278974562883377,0.6394579410552979
70%,B0005,150,0.6792362332344055,0.0631047785282135,0.645580530166626
70%,B0005,200,0.6779446005821228,0.0628657341003418,0.644849419593811
70%,B0005,250,0.6736993789672852,0.06347405165433884,0.6448025107383728
70%,B0005,300,0.6734971404075623,0.06341808289289474,0.6404919028282166
70%,B0006,50,0.5740686058998108,0.06599288433790207,0.5334643721580505
70%,B0006,100,0.5734331011772156,0.06637445837259293,0.5335127711296082
70%,B0006,150,0.5734257102012634,0.06638055294752121,0.5330194234848022
70%,B0006,200,0.5734805464744568,0.06638411432504654,0.532314121723175
70%,B0006,250,0.573570728302002,0.0663895234465599,0.5314475297927856
70%,B0006,300,0.5737031698226929,0.06639698892831802,0.530428409576416
70%,B0007,50,0.7507722973823547,0.22687271237373352,0.6054891347885132
70%,B0007,100,0.7511816024780273,0.22949577867984772,0.600740909576416
70%,B0007,150,0.7529705166816711,0.23134370148181915,0.5954609513282776
70%,B0007,200,0.7531198263168335,0.23173320293426514,0.5941393375396729
70%,B0007,250,0.7529844045639038,0.23190957307815552,0.5933628082275391
70%,B0007,300,0.7528752684593201,0.23212803900241852,0.5923904180526733
70%,B0018,50,0.624750018119812,0.2117650806903839,0.5548693537712097
70%,B0018,100,0.6238404512405396,0.21157756447792053,0.555330216884613
70%,B0018,150,0.6220802068710327,0.21139736473560333,0.5559247136116028
70%,B0018,200,0.6212731003761292,0.21134763956069946,0.5559516549110413
70%,B0018,250,0.62081378698349,0.21140694618225098,0.5557495951652527
70%,B0018,300,0.6196022033691406,0.2109927535057068,0.5559368133544922
