activation_function,train_ratio,rmse,mae,mape,r2
cauchy,40%,0.024580608332087125,0.017526170704513788,1.1115617752075195,0.9742653667926788
cauchy,50%,0.027925392962226202,0.02118739183060825,1.3780362606048584,0.9680486172437668
cauchy,60%,0.025638160655863572,0.018601839197799563,1.187937617301941,0.9713860750198364
cauchy,70%,0.025952845551174553,0.018118452047929168,1.1684820652008057,0.9716241806745529
tanh,40%,0.03092087023551278,0.023765590507537127,1.5027920007705688,0.9630996286869049
tanh,50%,0.030947995606808845,0.02355476515367627,1.486284613609314,0.9630871564149857
tanh,60%,0.031051663954471113,0.023616230115294456,1.490185260772705,0.96300208568573
tanh,70%,0.031074380965845833,0.023454518988728523,1.4774155616760254,0.962919220328331
relu,40%,0.028088621573317506,0.020807288587093353,1.331998586654663,0.9691189527511597
relu,50%,0.027769326919735438,0.020929906284436584,1.3436425924301147,0.9696656167507172
relu,60%,0.027855580715886653,0.020666117081418633,1.3235383033752441,0.9694379717111588
relu,70%,0.02792502481682385,0.02079113759100437,1.3311870098114014,0.9694607108831406
gelu,40%,0.02635025823455849,0.019577492959797382,1.2486317157745361,0.971257358789444
gelu,50%,0.026319144174319395,0.019416967872530222,1.2373427152633667,0.9713693857192993
gelu,60%,0.02626672586564694,0.019399467390030622,1.2370531558990479,0.9714931696653366
gelu,70%,0.02621259093347115,0.01928815757855773,1.228929877281189,0.9715835005044937
leaky_relu,40%,0.028185518875695995,0.022104718489572406,1.425572395324707,0.9690006226301193
leaky_relu,50%,0.028444907565891457,0.021292461082339287,1.3651689291000366,0.9684322476387024
leaky_relu,60%,0.028517064280524307,0.02139686862938106,1.3736623525619507,0.9683668613433838
leaky_relu,70%,0.02867514348520552,0.02167734084650874,1.3898991346359253,0.9678597301244736
