train_ratio,model,battery,rmse
40%,XNet,B0005,0.1817523038723363
40%,XNet,B0006,0.18901572910018064
40%,XNet,B0007,0.06244801616972302
40%,XNet,B0018,0.09766560509695262
40%,XNet,average,0.13272041355979813
40%,FC,B0005,0.03494487571976361
40%,FC,B0006,0.19859927296555832
40%,FC,B0007,0.1518823900308635
40%,FC,B0018,0.5050012977035769
40%,FC,average,0.2226069591049406
40%,LSTM,B0005,0.043015039230488224
40%,LSTM,B0006,0.1069728004311117
40%,LSTM,B0007,0.028219436961836254
40%,LSTM,B0018,0.060738312806191116
40%,LSTM,average,0.05973639735740682
40%,GRU,B0005,0.08636812398929887
40%,GRU,B0006,0.030475320168789535
40%,GRU,B0007,0.03123029911151449
40%,GRU,B0018,0.03142882567963396
40%,GRU,average,0.044875642237309214
40%,CNN,B0005,0.22353157517217392
40%,CNN,B0006,0.04025969252720608
40%,CNN,B0007,0.15926088707701988
40%,CNN,B0018,0.2481319026443309
40%,CNN,average,0.1677960143551827
40%,ResNet,B0005,0.18737765135107584
40%,ResNet,B0006,0.07550719222925573
40%,ResNet,B0007,0.09249301994413757
40%,ResNet,B0018,0.2887070635666142
40%,ResNet,average,0.16102123177277083
50%,XNet,B0005,0.08345574525056136
50%,XNet,B0006,0.07544968051161788
50%,XNet,B0007,0.03444941732942197
50%,XNet,B0018,0.0596004687257781
50%,XNet,average,0.06323882795434484
50%,FC,B0005,0.022302827790957717
50%,FC,B0006,0.029424286986583014
50%,FC,B0007,0.015115317089107362
50%,FC,B0018,0.11382945778641823
50%,FC,average,0.04516797241326658
50%,LSTM,B0005,0.021947781735131667
50%,LSTM,B0006,0.06960453139149804
50%,LSTM,B0007,0.01709165222953311
50%,LSTM,B0018,0.02992503161687125
50%,LSTM,average,0.03464224924325852
50%,GRU,B0005,0.031385576554377105
50%,GRU,B0006,0.02838451203784392
50%,GRU,B0007,0.015243528841494014
50%,GRU,B0018,0.030397438079945983
50%,GRU,average,0.026352763878415255
50%,CNN,B0005,0.01864989614779972
50%,CNN,B0006,0.03645150973689703
50%,CNN,B0007,0.018856907893840726
50%,CNN,B0018,0.04618152609520736
50%,CNN,average,0.030034959968436213
50%,ResNet,B0005,0.21060034509960657
50%,ResNet,B0006,0.15271340052987145
50%,ResNet,B0007,0.038346044288726
50%,ResNet,B0018,0.10481581528259304
50%,ResNet,average,0.12661890130019926
60%,XNet,B0005,0.05936004119274788
60%,XNet,B0006,0.07426311710259705
60%,XNet,B0007,0.022236620003129495
60%,XNet,B0018,0.03900129321184436
60%,XNet,average,0.048715267877579696
60%,FC,B0005,0.036478492933497975
60%,FC,B0006,0.03075645700746043
60%,FC,B0007,0.015104442551867277
60%,FC,B0018,0.028293525013688498
60%,FC,average,0.027658229376628544
60%,LSTM,B0005,0.025648014868104793
60%,LSTM,B0006,0.06589686444433908
60%,LSTM,B0007,0.016972653455646226
60%,LSTM,B0018,0.031033918120172217
60%,LSTM,average,0.03488786272206558
60%,GRU,B0005,0.02309271029906821
60%,GRU,B0006,0.026234459376398258
60%,GRU,B0007,0.01571292557573195
60%,GRU,B0018,0.027723846653480384
60%,GRU,average,0.023190985476169698
60%,CNN,B0005,0.023590751628741795
60%,CNN,B0006,0.04009172564108224
60%,CNN,B0007,0.015992752394019403
60%,CNN,B0018,0.03357351797236887
60%,CNN,average,0.02831218690905308
60%,ResNet,B0005,0.027681571432823997
60%,ResNet,B0006,0.04784442644042845
60%,ResNet,B0007,0.018538379247027316
60%,ResNet,B0018,0.030977197412992923
60%,ResNet,average,0.03126039363331817
70%,XNet,B0005,0.02878378045999956
70%,XNet,B0006,0.06071224816387219
70%,XNet,B0007,0.01815590165608589
70%,XNet,B0018,0.018714652077251287
70%,XNet,average,0.031591645589302234
70%,FC,B0005,0.02057788223147477
70%,FC,B0006,0.028772901795978214
70%,FC,B0007,0.017130337152990307
70%,FC,B0018,0.02976116793471146
70%,FC,average,0.02406057227878869
70%,LSTM,B0005,0.019261526542519586
70%,LSTM,B0006,0.05518178569564137
70%,LSTM,B0007,0.018385197736208385
70%,LSTM,B0018,0.028302471732032576
70%,LSTM,average,0.030282745426600477
70%,GRU,B0005,0.017259107813149707
70%,GRU,B0006,0.027706290938892274
70%,GRU,B0007,0.01612836861135854
70%,GRU,B0018,0.0262461473573284
70%,GRU,average,0.02183497868018223
70%,CNN,B0005,0.02378438629776445
70%,CNN,B0006,0.03416590242329494
70%,CNN,B0007,0.016348193006294663
70%,CNN,B0018,0.03602108402781575
70%,CNN,average,0.02757989143879245
70%,ResNet,B0005,0.0217878029760774
70%,ResNet,B0006,0.03272879537893203
70%,ResNet,B0007,0.022139054296359952
70%,ResNet,B0018,0.02857053215190422
70%,ResNet,average,0.0263065462008184
