train_ratio,battery,XNet_rmse,FC_rmse,LSTM_rmse,GRU_rmse,CNN_rmse,ResNet_rmse,baseline_average_rmse,xnet_improve_percent
40%,B0005,0.1817523038723363,0.03494487571976361,0.043015039230488224,0.08636812398929887,0.22353157517217392,0.18737765135107584,0.1150474530925601,-57.98029333696728
40%,B0006,0.18901572910018064,0.19859927296555832,0.1069728004311117,0.030475320168789535,0.04025969252720608,0.07550719222925573,0.09036285566438426,-109.17414319242187
40%,B0007,0.06244801616972302,0.1518823900308635,0.028219436961836254,0.03123029911151449,0.15926088707701988,0.09249301994413757,0.09261720662507435,32.57406647717185
40%,B0018,0.09766560509695262,0.5050012977035769,0.060738312806191116,0.03142882567963396,0.2481319026443309,0.2887070635666142,0.22680148048006946,56.93784498662691
40%,average,0.13272041355979813,0.2226069591049406,0.05973639735740682,0.044875642237309214,0.1677960143551827,0.16102123177277083,0.13120724896552205,-1.1532629532334038
50%,B0005,0.08345574525056136,0.022302827790957717,0.021947781735131667,0.031385576554377105,0.01864989614779972,0.21060034509960657,0.06097728546557455,-36.863660973687146
50%,B0006,0.07544968051161788,0.029424286986583014,0.06960453139149804,0.02838451203784392,0.03645150973689703,0.15271340052987145,0.0633156481365387,-19.164349939074185
50%,B0007,0.03444941732942197,0.015115317089107362,0.01709165222953311,0.015243528841494014,0.018856907893840726,0.038346044288726,0.02093069006854024,-64.58806287137652
50%,B0018,0.0596004687257781,0.11382945778641823,0.02992503161687125,0.030397438079945983,0.04618152609520736,0.10481581528259304,0.06502985377220719,8.349065439156076
50%,average,0.06323882795434484,0.04516797241326658,0.03464224924325852,0.026352763878415255,0.030034959968436213,0.12661890130019926,0.05256336936071517,-20.30969232655069
60%,B0005,0.05936004119274788,0.036478492933497975,0.025648014868104793,0.02309271029906821,0.023590751628741795,0.027681571432823997,0.027298308232447353,-117.44952356494849
60%,B0006,0.07426311710259705,0.03075645700746043,0.06589686444433908,0.026234459376398258,0.04009172564108224,0.04784442644042845,0.04216478658194169,-76.12591719935897
60%,B0007,0.022236620003129495,0.015104442551867277,0.016972653455646226,0.01571292557573195,0.015992752394019403,0.018538379247027316,0.016464230644858434,-35.06018278524119
60%,B0018,0.03900129321184436,0.028293525013688498,0.031033918120172217,0.027723846653480384,0.03357351797236887,0.030977197412992923,0.03032040103454058,-28.63053218661135
60%,average,0.048715267877579696,0.027658229376628544,0.03488786272206558,0.023190985476169698,0.02831218690905308,0.03126039363331817,0.029061931623447012,-67.6257053687253
70%,B0005,0.02878378045999956,0.02057788223147477,0.019261526542519586,0.017259107813149707,0.02378438629776445,0.0217878029760774,0.020534141172197186,-40.17523410705007
70%,B0006,0.06071224816387219,0.028772901795978214,0.05518178569564137,0.027706290938892274,0.03416590242329494,0.03272879537893203,0.035711135246547766,-70.00929190494247
70%,B0007,0.01815590165608589,0.017130337152990307,0.018385197736208385,0.01612836861135854,0.016348193006294663,0.022139054296359952,0.01802623016064237,-0.7193489392287695
70%,B0018,0.018714652077251287,0.02976116793471146,0.028302471732032576,0.0262461473573284,0.03602108402781575,0.02857053215190422,0.029780280640758484,37.15756979255036
70%,average,0.031591645589302234,0.02406057227878869,0.030282745426600477,0.02183497868018223,0.02757989143879245,0.0263065462008184,0.026012946805036453,-21.44585473563368
