train_ratio,model,battery,rmse
40%,XNet,B0005,0.1633574173516745
40%,XNet,B0006,0.19306016177709284
40%,XNet,B0007,0.08372409264606641
40%,XNet,B0018,0.15288439210205032
40%,XNet,average,0.14825651596922101
40%,FC,B0005,0.18982549822945524
40%,FC,B0006,0.27554707783755655
40%,FC,B0007,0.19376600260944238
40%,FC,B0018,1.1990819598287346
40%,FC,average,0.46455513462629716
40%,LSTM,B0005,0.08992524700818884
40%,LSTM,B0006,0.1096932854987775
40%,LSTM,B0007,0.03233687889037994
40%,LSTM,B0018,0.07536956796932988
40%,LSTM,average,0.07683124484166905
40%,GRU,B0005,0.16796270625751966
40%,GRU,B0006,0.029768971634570245
40%,GRU,B0007,0.06305155053108723
40%,GRU,B0018,0.06652194351292756
40%,GRU,average,0.08182629298402617
40%,CNN,B0005,0.28100519652499745
40%,CNN,B0006,0.04101049726085828
40%,CNN,B0007,0.28574224903577977
40%,CNN,B0018,0.48562253759930785
40%,CNN,average,0.2733451201052358
40%,ResNet,B0005,0.3313235875929643
40%,ResNet,B0006,0.07442838463414242
40%,ResNet,B0007,0.29872997392387096
40%,ResNet,B0018,0.2018831696348278
40%,ResNet,average,0.22659127894645137
50%,XNet,B0005,0.1221403912613628
50%,XNet,B0006,0.07419037590241322
50%,XNet,B0007,0.06068723698346887
50%,XNet,B0018,0.09623657657014523
50%,XNet,average,0.08831364517934752
50%,FC,B0005,0.04110155442367747
50%,FC,B0006,0.13173989223572602
50%,FC,B0007,0.02398643177879183
50%,FC,B0018,0.39423903417243716
50%,FC,average,0.14776672815265812
50%,LSTM,B0005,0.03651164069626002
50%,LSTM,B0006,0.07736337875055739
50%,LSTM,B0007,0.017186507960430194
50%,LSTM,B0018,0.03206652219888229
50%,LSTM,average,0.04078201240153247
50%,GRU,B0005,0.051455154900340624
50%,GRU,B0006,0.028041629689281627
50%,GRU,B0007,0.04758520586114891
50%,GRU,B0018,0.043226073027031436
50%,GRU,average,0.04257701586945065
50%,CNN,B0005,0.01860580571038881
50%,CNN,B0006,0.04271176962698645
50%,CNN,B0007,0.024261123126860806
50%,CNN,B0018,0.04054818278291073
50%,CNN,average,0.0315317203117867
50%,ResNet,B0005,0.12946866628794687
50%,ResNet,B0006,0.14917823780810785
50%,ResNet,B0007,0.023746522037837493
50%,ResNet,B0018,0.13199020120075053
50%,ResNet,average,0.10859590683366069
60%,XNet,B0005,0.0783421062769511
60%,XNet,B0006,0.08468970489446935
60%,XNet,B0007,0.02528426700017233
60%,XNet,B0018,0.03782057166892321
60%,XNet,average,0.056534162460129
60%,FC,B0005,0.06687767623956505
60%,FC,B0006,0.04244194942614808
60%,FC,B0007,0.02097295578481416
60%,FC,B0018,0.04494262558129697
60%,FC,average,0.04380880175795607
60%,LSTM,B0005,0.03555646723710479
60%,LSTM,B0006,0.0604869234236306
60%,LSTM,B0007,0.01719566264499045
60%,LSTM,B0018,0.03355732269342168
60%,LSTM,average,0.03669909399978688
60%,GRU,B0005,0.024617189347422345
60%,GRU,B0006,0.026229590991012464
60%,GRU,B0007,0.023873342248805378
60%,GRU,B0018,0.03202089514485443
60%,GRU,average,0.026685254433023654
60%,CNN,B0005,0.03492534826595022
60%,CNN,B0006,0.04703686503225819
60%,CNN,B0007,0.01794620183079793
60%,CNN,B0018,0.03427113662935054
60%,CNN,average,0.03354488793958922
60%,ResNet,B0005,0.0361446364491011
60%,ResNet,B0006,0.06462022404874389
60%,ResNet,B0007,0.03046326668164731
60%,ResNet,B0018,0.07934874015277746
60%,ResNet,average,0.052644216833067435
70%,XNet,B0005,0.050066479617316056
70%,XNet,B0006,0.06584164121058945
70%,XNet,B0007,0.021271684399038163
70%,XNet,B0018,0.03218120395611636
70%,XNet,average,0.042340252295765005
70%,FC,B0005,0.020474993040550667
70%,FC,B0006,0.044856674623778375
70%,FC,B0007,0.026143034080302562
70%,FC,B0018,0.050836652097930785
70%,FC,average,0.035577838460640596
70%,LSTM,B0005,0.02280151871416126
70%,LSTM,B0006,0.061162266932818565
70%,LSTM,B0007,0.018993484564191445
70%,LSTM,B0018,0.02874365859091794
70%,LSTM,average,0.032925232200522306
70%,GRU,B0005,0.0171675533134833
70%,GRU,B0006,0.027936829099064107
70%,GRU,B0007,0.021935005514087766
70%,GRU,B0018,0.03000325628423908
70%,GRU,average,0.024260661052718565
70%,CNN,B0005,0.046356412122395885
70%,CNN,B0006,0.03511990217912022
70%,CNN,B0007,0.01855884289012239
70%,CNN,B0018,0.0387403811569068
70%,CNN,average,0.03469388458713632
70%,ResNet,B0005,0.02738750737221487
70%,ResNet,B0006,0.0819066042999761
70%,ResNet,B0007,0.02719905580282537
70%,ResNet,B0018,0.037781125314962714
70%,ResNet,average,0.04356857319749476
