train_ratio,combo_idx,lr,hidden_dim,num_layers,lambda1,lambda2,d,avg_rmse
40%,1,0.008,128,3,0.7,0.1,0.5,0.18459135183178588
40%,2,0.008,128,3,1.0,0.2,0.75,0.1682287300621254
40%,3,0.008,160,3,0.7,0.1,0.5,0.1713909945593588
40%,4,0.008,160,3,1.0,0.2,0.75,0.16688240160257184
40%,5,0.01,128,3,0.7,0.1,0.5,0.15482799496804675
40%,6,0.01,128,3,1.0,0.2,0.75,0.15862950090288017
40%,7,0.01,160,3,0.7,0.1,0.5,0.17124758361402098
40%,8,0.01,160,3,1.0,0.2,0.75,0.14825651596922101
50%,1,0.008,128,3,0.7,0.1,0.5,0.08831364517934752
50%,2,0.008,128,3,1.0,0.2,0.75,0.10524542680553078
50%,3,0.008,160,3,0.7,0.1,0.5,0.09296664537194618
50%,4,0.008,160,3,1.0,0.2,0.75,0.09895549709075635
50%,5,0.01,128,3,0.7,0.1,0.5,0.09997175556143872
50%,6,0.01,128,3,1.0,0.2,0.75,0.10180939582481723
50%,7,0.01,160,3,0.7,0.1,0.5,0.09188614012860337
50%,8,0.01,160,3,1.0,0.2,0.75,0.09445153225831493
60%,1,0.008,128,3,0.7,0.1,0.5,0.06846276983076754
60%,2,0.008,128,3,1.0,0.2,0.75,0.061421589392623405
60%,3,0.008,160,3,0.7,0.1,0.5,0.06892186822046076
60%,4,0.008,160,3,1.0,0.2,0.75,0.06531701067977984
60%,5,0.01,128,3,0.7,0.1,0.5,0.06489446999507761
60%,6,0.01,128,3,1.0,0.2,0.75,0.056534162460129
60%,7,0.01,160,3,0.7,0.1,0.5,0.06689049227321615
60%,8,0.01,160,3,1.0,0.2,0.75,0.06760195467805735
70%,1,0.008,128,3,0.7,0.1,0.5,0.042340252295765005
70%,2,0.008,128,3,1.0,0.2,0.75,0.0458232823711125
70%,3,0.008,160,3,0.7,0.1,0.5,0.05282328452727445
70%,4,0.008,160,3,1.0,0.2,0.75,0.047176342980257385
70%,5,0.01,128,3,0.7,0.1,0.5,0.04650901118732599
70%,6,0.01,128,3,1.0,0.2,0.75,0.04370254831650701
70%,7,0.01,160,3,0.7,0.1,0.5,0.051177663373887905
70%,8,0.01,160,3,1.0,0.2,0.75,0.04877128715798156
